aia_name,aia_code,aia_url,aia_validfrom,aia_rulesetversion
Reglamento (UE) 2024/1689 - texto consolidado de 27/07/2026,EU_AI_ACT_CONSOLIDATED_2026_07_27,https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng,2026-07-27,EU_AI_ACT_2026_07_27_V0_1
AI Act - calendario de aplicacion,EU_COMMISSION_AI_ACT_TIMELINE_2026,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,2026-07-27,EU_AI_ACT_2026_07_27_V0_1
Guidelines for providers and deployers of AI high-risk systems,EU_COMMISSION_HIGH_RISK_GUIDELINES_2026,https://digital-strategy.ec.europa.eu/en/policies/guidelines-ai-high-risk-systems,2026-07-27,EU_AI_ACT_2026_07_27_V0_1
